congresista,movimiento,circunscripcion,fecha,dato_asistencia
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/07/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,26/07/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,01/08/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,08/08/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,15/08/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,21/08/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,28/08/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,04/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,05/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,11/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,12/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,25/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,26/09/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,02/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,03/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,09/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,16/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,17/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,23/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,24/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,30/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,31/10/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,06/11/2018,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,07/11/2018,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,13/11/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,14/11/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,20/11/2018,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,21/11/2018,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,27/11/2018,OTRAS EXCUSAS
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,04/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,05/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,11/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,12/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,13/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,14/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,17/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,18/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/12/2018,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,19/03/2019,EX. MÉDICA
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,26/03/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,27/03/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,02/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,08/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,10/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,23/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,24/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,29/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,30/04/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,01/05/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,02/05/2019,ASISTIÓ
ACOSTA INFANTE YENICA SUGEIN,CENTRO DEMOCRATICO,AMAZONAS,08/05/2019,ASISTIÓ
